date,parsed_turns,acosta_turns,turn_count_ratio,ecsit_first_speaker_match,ecsit_first_speaker_parsed,ecsit_first_speaker_acosta,ecsit_n_parsed,ecsit_n_acosta,mps_first_speaker_match,mps_first_speaker_parsed,mps_first_speaker_acosta,mps_n_parsed,mps_n_acosta
20150128,625,776,0.805,True,KAMIN,KAMIN,289,344,True,LAUBACH,LAUBACH,56,63
20150318,352,434,0.811,True,KAMIN,KAMIN,84,104,True,LAUBACH,LAUBACH,86,104
20150429,319,384,0.831,False,WASCHER,KAMIN,108,119,True,LAUBACH,LAUBACH,92,115
20150617,242,296,0.818,False,,FOLLETTE,0,96,True,LAUBACH,LAUBACH,114,137
20150729,323,393,0.822,True,WILCOX,WILCOX,84,100,True,LAUBACH,LAUBACH,54,65
20150917,247,302,0.818,True,WILCOX,WILCOX,63,72,True,LAUBACH,LAUBACH,53,65
20151028,352,453,0.777,True,LEBOW,LEBOW,110,131,True,LAUBACH,LAUBACH,138,185
20151216,190,210,0.905,True,ROBERTS,ROBERTS,70,78,True,LAUBACH,LAUBACH,103,108
20160127,682,679,1.004,True,KAMIN,KAMIN,171,169,True,LAUBACH,LAUBACH,238,238
20160316,237,234,1.013,True,WILCOX,WILCOX,129,128,True,LAUBACH,LAUBACH,92,91
20160427,282,281,1.004,True,WASCHER,WASCHER,146,146,True,LAUBACH,LAUBACH,61,60
20160615,250,249,1.004,True,RUDD,RUDD,138,137,True,LAUBACH,LAUBACH,103,103
20160727,323,322,1.003,True,KAMIN,KAMIN,84,84,True,LAUBACH,LAUBACH,76,76
20160921,188,219,0.858,True,WILCOX,WILCOX,97,113,True,LAUBACH,LAUBACH,65,74
20161102,256,301,0.85,True,ENGEN,ENGEN,126,146,True,LAUBACH,LAUBACH,53,65
20161214,267,326,0.819,True,AARONSON,AARONSON,131,167,True,LAUBACH,LAUBACH,86,103
20170201,293,338,0.867,True,WILCOX,WILCOX,149,174,True,LAUBACH,LAUBACH,57,61
20170315,267,300,0.89,True,WASCHER,WASCHER,64,66,True,LAUBACH,LAUBACH,109,124
20170503,252,284,0.887,True,WILCOX,WILCOX,76,90,True,LAUBACH,LAUBACH,161,179
20170614,228,267,0.854,True,TEVLIN,TEVLIN,78,87,True,LAUBACH,LAUBACH,80,94
20170726,158,158,1.0,True,WILCOX,WILCOX,79,79,True,LAUBACH,LAUBACH,51,51
20170920,242,239,1.013,True,WILCOX,WILCOX,70,69,True,LAUBACH,LAUBACH,155,153
20171101,152,152,1.0,True,LEBOW,LEBOW,81,81,True,LAUBACH,LAUBACH,55,55
20171213,243,242,1.004,True,STEVENS,STEVENS,166,165,True,LAUBACH,LAUBACH,61,61
20180131,346,390,0.887,True,WILCOX,WILCOX,115,124,True,LAUBACH,LAUBACH,106,127
20180321,149,174,0.856,True,WILCOX,WILCOX,68,81,True,LAUBACH,LAUBACH,57,65
20180502,187,206,0.908,True,WASCHER,WASCHER,74,86,True,LAUBACH,LAUBACH,70,74
20180613,187,213,0.878,True,MORIN,MORIN,64,78,True,LAUBACH,LAUBACH,95,100
20180801,263,263,1.0,True,WILCOX,WILCOX,109,109,True,LAUBACH,LAUBACH,86,86
20180926,161,160,1.006,True,WILCOX,WILCOX,74,74,True,LAUBACH,LAUBACH,67,67
20181108,217,212,1.024,True,ENGEN,ENGEN,114,114,True,REEVE,REEVE,52,52
20181219,264,266,0.992,True,FIGURA,FIGURA,114,117,True,LAUBACH,LAUBACH,89,89
